Title,Location,Price,Area
                        House Jacob Catsstraat 24                            ,            1321 VG Almere (Literatuurwijk)        ,"                €1,850 per month            ",117 m²
                        Apartment Veldhovenring                            ,            5041 BB Tilburg (Pastorieklamp Oost)        ,                €700 per month            ,40 m²
                        Apartment Lichttoren                            ,            5611 BJ Eindhoven (Witte Dame)        ,"                €1,675 per month            ",80 m²
                        House Rosmolenstraat                            ,            1502 PK Zaandam (Rosmolenbuurt)        ,"                €1,400 per month            ",95 m²
                        Apartment Henri Hermanslaan 161                            ,            6162 GE Geleen (Geleen-Noord)        ,                €800 per month            ,78 m²
                        House 1e Jerichostraat 57 A                            ,            3061 GC Rotterdam (Kralingen West)        ,"                €2,500 per month            ",110 m²
                        Apartment Flamingostraat                            ,            3582 SW Utrecht (Watervogelbuurt)        ,"                €1,395 per month            ",58 m²
                        Apartment Branderijstraat                            ,            5223 AS Den Bosch (Paleiskwartier)        ,"                €1,540 per month            ",128 m²
                        Apartment Branderijstraat                            ,            5223 AS Den Bosch (Paleiskwartier)        ,"                €1,600 per month            ",128 m²
                        Apartment Rodenrijsestraat                            ,            3037 NE Rotterdam (Liskwartier)        ,"                €1,265 per month            ",67 m²
                        Apartment Colognekaai                            ,            4612 RJ Bergen op Zoom (Schelde Vesting)        ,"                €1,295 per month            ",81 m²
                        Apartment De Lairessestraat 172 F                            ,            1075 HM Amsterdam (Willemspark)        ,"                €3,250 per month            ",100 m²
                        Apartment Dijk van Bommenede                            ,            4316 AT Zonnemaire (Zonnemaire)        ,                €850 per month            ,45 m²
                        Apartment Achterweg                            ,            4316 BZ Zonnemaire (Zonnemaire)        ,"                €1,100 per month            ",60 m²
                        Apartment Dijk van Bommenede                            ,            4316 AT Zonnemaire (Zonnemaire)        ,                €750 per month            ,36 m²
                        Apartment Anubisstraat                            ,            1363 XJ Almere (Homeruskwartier)        ,"                €1,350 per month            ",68 m²
                        Apartment Allerheiligenweg                            ,            4835 BM Breda (Overakker)        ,"                €1,450 per month            ",76 m²
                        Apartment Stadsring                            ,            3811 HM Amersfoort (Stadhuisplein)        ,                €739 per month            ,34 m²
                        Studio Goudesteijn                            ,            3401 SM IJsselstein (Achterveld-Noord)        ,                €915 per month            ,40 m²
                        Apartment Nassaustraat 1 A                            ,            5911 BS Venlo (Winkelcentrum)        ,                €975 per month            ,80 m²
                        House Attleestraat                            ,            3066 VM Rotterdam (Prinsenland)        ,"                €1,600 per month            ",112 m²
                        Apartment Galileïstraat                            ,            2561 TL Den Haag (Valkenboskwartier)        ,                €925 per month            ,49 m²
                        Apartment Copernicuslaan                            ,            2561 VC Den Haag (Valkenboskwartier)        ,                €900 per month            ,42 m²
                        Apartment Van Eeghenlaan 12 1                            ,            1071 EM Amsterdam (Museumkwartier)        ,"                €4,500 per month            ",140 m²
                        House Nepveulaan 6 B                            ,            3705 LD Zeist (Dijnselburg)        ,"                €2,000 per month            ",131 m²
                        Apartment Ruyschstraat                            ,            1091 MS Amsterdam (Oosterparkbuurt)        ,"                €1,850 per month            ",64 m²
                        Apartment Oostduinlaan                            ,            2596 JP Den Haag (Waalsdorp)        ,"                €2,500 per month            ",115 m²
                        Apartment Alidasteeg 2                            ,            8601 CB Sneek (Sneek binnen de grachten)        ,                €750 per month            ,70 m²
                        Apartment Hattemlaan                            ,            2573 WP Den Haag (Oostbroek-Zuid)        ,"                €1,250 per month            ",42 m²
                        Apartment Van Eeghenstraat 58 II                            ,            1071 GJ Amsterdam (Museumkwartier)        ,"                €3,250 per month            ",71 m²
                        Apartment Koningskers 116                            ,            6846 HD Arnhem (Schuytgraaf-Noord)        ,"                €1,155 per month            ",73 m²
                        House Ambachtstraat                            ,            2024 EB Haarlem (Schotervlieland)        ,"                €2,250 per month            ",150 m²
                        Apartment Kruidenhof                            ,            1112 NW Diemen (Kruidenhof)        ,"                €1,575 per month            ",68 m²
                        Apartment De Genestetstraat                            ,            1054 AW Amsterdam (Helmersbuurt)        ,"                €2,900 per month            ",95 m²
                        Apartment De Genestetstraat                            ,            1054 AW Amsterdam (Helmersbuurt)        ,"                €2,900 per month            ",95 m²
                        Apartment Twentsestraat                            ,            7417 BL Deventer (Hoornwerk)        ,"                €1,025 per month            ",80 m²
                        Apartment Keizersgracht                            ,            1016 EG Amsterdam (Grachtengordel-West)        ,"                €6,000 per month            ",270 m²
                        House 1e Jerichostraat 57 A                            ,            3061 GC Rotterdam (Kralingen West)        ,"                €2,500 per month            ",110 m²
                        Apartment Mariniersweg                            ,            3011 NV Rotterdam (Stadsdriehoek)        ,"                €1,750 per month            ",64 m²
                        House Dorpsweg 129 hs4                            ,            1697 KJ Schellinkhout (Schellinkhout)        ,"                €1,600 per month            ",71 m²
                        Apartment Neuweg                            ,            1211 LV Hilversum (Centrum)        ,"                €1,050 per month            ",43 m²
                        House Jan Tooropplantsoen 1                            ,            1182 AC Amstelveen (Amsterdamse Bos Noord)        ,"                €2,750 per month            ",150 m²
                        Apartment Nieuwstraat                            ,            6211 CR Maastricht (Binnenstad)        ,"                €1,700 per month            ",57 m²
                        Apartment Nieuwstraat                            ,            6211 CR Maastricht (Binnenstad)        ,"                €1,800 per month            ",72 m²
                        Apartment Nieuwstraat                            ,            6211 CR Maastricht (Binnenstad)        ,"                €1,700 per month            ",55 m²
                        Apartment Minckelersstraat                            ,            6211 GX Maastricht (Binnenstad)        ,"                €1,900 per month            ",103 m²
                        Apartment Pieter Baststraat                            ,            1071 TW Amsterdam (Museumkwartier)        ,"                €2,500 per month            ",72 m²
                        Apartment Mandarijnstraat                            ,            2564 SX Den Haag (Vruchtenbuurt)        ,                €790 per month            ,60 m²
                        House Tilburgseweg-Oost                            ,            5651 AG Eindhoven (Drents Dorp)        ,"                €1,750 per month            ",108 m²
                        Apartment Henry Dunantweg 12 B                            ,            2402 NP Alphen aan den Rijn (Rijnoord)        ,"                €1,145 per month            ",62 m²
                        Apartment Wijttenbachstraat                            ,            1093 JE Amsterdam (Dapperbuurt)        ,"                €1,750 per month            ",60 m²
                        Room Agniesestraat                            ,            3032 TH Rotterdam (Agniesebuurt)        ,                €430 per month            ,20 m²
                        Room Teilingerstraat                            ,            3032 AV Rotterdam (Agniesebuurt)        ,                €480 per month            ,20 m²
                        Apartment Catharinastraat                            ,            4811 XH Breda (City)        ,"                €1,350 per month            ",65 m²
                        Apartment Baronielaan 173 B                            ,            4818 PG Breda (Zandberg)        ,"                €1,250 per month            ",85 m²
                        Apartment Pleinweg                            ,            3081 JJ Rotterdam (Tarwewijk)        ,"                €1,000 per month            ",50 m²
                        Apartment Pleinweg                            ,            3081 JJ Rotterdam (Tarwewijk)        ,"                €1,000 per month            ",50 m²
                        Apartment Damasstraat                            ,            2522 TZ Den Haag (Laakkwartier-Oost)        ,"                €1,425 per month            ",62 m²
                        Apartment Deensestraat                            ,            3028 GE Rotterdam (Oud Mathenesse)        ,"                €1,300 per month            ",65 m²
                        Apartment Statensingel                            ,            6211 PP Maastricht (Statenkwartier)        ,"                €1,350 per month            ",70 m²
                        Apartment Begoniastraat                            ,            5644 NA Eindhoven (Gerardusplein)        ,"                €1,450 per month            ",65 m²
                        Apartment Eric Kropstraat 118                            ,            3071 AE Rotterdam (Kop van Zuid - Entrepot)        ,"                €3,800 per month            ",255 m²
                        Apartment Griffeweg                            ,            9723 DR Groningen (De Meeuwen)        ,"                €1,350 per month            ",105 m²
                        House Graslinnen                            ,            5658 HR Eindhoven (Grasrijk)        ,"                €1,875 per month            ",127 m²
                        Apartment Nieuwstraat                            ,            6211 CR Maastricht (Binnenstad)        ,"                €1,950 per month            ",112 m²
                        Apartment Prins Hendriklaan                            ,            3071 LE Rotterdam (Noordereiland)        ,"                €2,500 per month            ",140 m²
                        Apartment Ganzenstraat 21                            ,            3815 JA Amersfoort (Watervogelbuurt)        ,"                €1,125 per month            ",72 m²
                        Apartment Arthur van Schendelstraat                            ,            3511 MP Utrecht (Hooch Boulandt)        ,"                €1,795 per month            ",79 m²
                        Apartment Keizersgracht                            ,            1016 EG Amsterdam (Grachtengordel-West)        ,"                €6,000 per month            ",270 m²
                        House Schoolpad 4                            ,            1111 CS Diemen (Centrum West)        ,"                €2,250 per month            ",104 m²
                        Apartment Kanaalstraat 59 A                            ,            3531 CB Utrecht (Lombok-Oost)        ,"                €1,775 per month            ",70 m²
                        Apartment Josef Israëlslaan 50                            ,            6813 JE Arnhem (Hoogkamp)        ,"                €1,550 per month            ",97 m²
                        Apartment Ruslandstraat                            ,            2034 XC Haarlem (Landenbuurt)        ,"                €1,550 per month            ",85 m²
                        Apartment Lombokstraat                            ,            3531 RA Utrecht (Lombok-West)        ,"                €1,495 per month            ",50 m²
                        Apartment Millinxstraat                            ,            3081 PS Rotterdam (Tarwewijk)        ,"                €1,025 per month            ",44 m²
                        Apartment Groene Hilledijk                            ,            3073 AE Rotterdam (Bloemhof)        ,                €995 per month            ,52 m²
                        Apartment Poststede                            ,            3431 HP Nieuwegein (Stadscentrum)        ,"                €1,135 per month            ",51 m²
                        Apartment Domstraat                            ,"            3512 JB Utrecht (Domplein, Neude, Janskerkhof)        ","                €1,295 per month            ",42 m²
                        House Ouddiemerlaan 36                            ,            1111 HJ Diemen (Centrum Oost)        ,"                €3,500 per month            ",220 m²
                        House Eendenparkweg 45 A - 29                            ,            3852 LG Ermelo (Tonsel)        ,                €880 per month            ,66 m²
                        Apartment Dorpstraat                            ,            5504 HE Veldhoven (Veldhoven)        ,"                €1,650 per month            ",150 m²
                        Apartment Van Beuningenstraat                            ,            2582 KH Den Haag (Statenkwartier)        ,"                €1,700 per month            ",82 m²
                        Apartment Willem Parelstraat 282                            ,            1018 KZ Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €1,995 per month            ",45 m²
                        Apartment Brouwersgracht 829                            ,            1015 GK Amsterdam (Jordaan)        ,"                €3,450 per month            ",125 m²
                        Apartment Emmalaan 19 B                            ,            1075 AT Amsterdam (Willemspark)        ,"                €3,250 per month            ",90 m²
                        Apartment Emmalaan 17 C                            ,            1075 AT Amsterdam (Willemspark)        ,"                €3,250 per month            ",100 m²
                        House Watermunt                            ,            4823 MG Breda (Kroeten)        ,"                €1,750 per month            ",139 m²
                        Apartment Timmer Werf                            ,            3221 AS Hellevoetsluis (De Vesting)        ,"                €1,995 per month            ",91 m²
                        Apartment Kerkstraat                            ,            1354 AB Almere (Centrum Almere Haven)        ,"                €1,025 per month            ",52 m²
                        House Rijnstraat                            ,            7523 GE Enschede (Deppenbroek)        ,"                €1,095 per month            ",77 m²
                        Apartment Jan Smitzlaan                            ,            5611 LD Eindhoven (Elzent-Noord)        ,"                €2,000 per month            ",102 m²
                        Apartment Hoogstraat                            ,            3011 PS Rotterdam (Stadsdriehoek)        ,"                €1,800 per month            ",76 m²
                        Apartment Laplacestraat 56 H                            ,            1098 HX Amsterdam (Middenmeer)        ,"                €2,195 per month            ",90 m²
                        Studio Westerstraat                            ,            7522 DL Enschede (Walhof-Roessingh)        ,                €625 per month            ,20 m²
                        Apartment Daltonstraat                            ,            2561 SV Den Haag (Valkenboskwartier)        ,"                €1,495 per month            ",75 m²
                        Apartment Oranjerivierdreef 12 E                            ,            3564 BE Utrecht (Zambesidreef en omgeving)        ,"                €1,240 per month            ",78 m²
                        Apartment Doezastraat                            ,            2311 HA Leiden (Levendaal-West)        ,"                €1,595 per month            ",50 m²
                        Studio Hengelosestraat                            ,            7521 AK Enschede (Walhof-Roessingh)        ,                €696 per month            ,26 m²
                        Apartment Botersloot 465                            ,            3011 HE Rotterdam (Stadsdriehoek)        ,"                €1,995 per month            ",100 m²
                        House Raaltepad 28                            ,            1324 EV Almere (Stedenwijk)        ,"                €2,100 per month            ",126 m²
                        Apartment Henri Hermanslaan 161                            ,            6162 GE Geleen (Geleen-Noord)        ,                €800 per month            ,78 m²
                        Apartment Keizersgracht                            ,            1016 EG Amsterdam (Grachtengordel-West)        ,"                €6,000 per month            ",270 m²
                        Studio Schouwburgring                            ,            5038 TK Tilburg (Binnenstad West)        ,                €704 per month            ,29 m²
                        Studio Oude Ebbingestraat 71                            ,            9712 HE Groningen (Binnenstad-Noord)        ,                €980 per month            ,50 m²
                        Apartment Nieuwe Nieuwstraat                            ,            1012 NH Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,650 per month            ",110 m²
                        Apartment Wijenburg 110                            ,            1082 VX Amsterdam (Buitenveldert-West)        ,"                €2,150 per month            ",67 m²
                        House Vuurtoren 22                            ,            1186 ZR Amstelveen (Galjoenbuurt)        ,"                €2,900 per month            ",139 m²
                        Apartment Loevestein                            ,            1082 XG Amsterdam (Buitenveldert-West)        ,"                €2,150 per month            ",67 m²
                        House Tilburgseweg                            ,"            5061 CA Oisterwijk (omg. ""Prinsessen"" wijk)        ","                €1,875 per month            ",180 m²
                        House Japurádreef                            ,"            3563 EB Utrecht (Vechtzoom-noord, Klopvaart)        ","                €1,700 per month            ",114 m²
                        House Zandzegge                            ,            5658 BD Eindhoven (Zandrijk)        ,"                €1,875 per month            ",135 m²
                        Apartment Orteliuskade                            ,            1057 AD Amsterdam (Hoofdweg e.o.)        ,"                €2,500 per month            ",75 m²
                        Apartment Statensingel 55                            ,            2805 BG Gouda (Statensingel)        ,                €885 per month            ,60 m²
                        Apartment Prinseneiland                            ,            1013 LL Amsterdam (Haarlemmerbuurt)        ,"                €2,300 per month            ",130 m²
                        Apartment Meteoorstraat 39                            ,            9742 EJ Groningen (Paddepoel-Noord)        ,"                €1,200 per month            ",90 m²
                        Apartment Graslaan                            ,            6833 CJ Arnhem (Groene Weide)        ,                €655 per month            ,30 m²
                        Apartment Egelantiersstraat                            ,            1015 PP Amsterdam (Jordaan)        ,"                €2,200 per month            ",80 m²
                        Apartment Johannes Verhulststraat                            ,            1071 NE Amsterdam (Museumkwartier)        ,"                €1,850 per month            ",75 m²
                        Apartment Veenendaalkade                            ,            2547 AG Den Haag (Leyenburg)        ,"                €1,450 per month            ",126 m²
                        Apartment Soestdijksekade                            ,            2574 AC Den Haag (Leyenburg)        ,"                €1,150 per month            ",78 m²
                        Apartment Woestduinstraat                            ,            1058 TG Amsterdam (Hoofddorppleinbuurt)        ,"                €2,350 per month            ",75 m²
                        Apartment Denneweg 7 1                            ,            2514 CB Den Haag (Voorhout)        ,"                €1,750 per month            ",80 m²
                        House Koninginneweg                            ,            3078 GM Rotterdam (Groot IJsselmonde)        ,"                €1,495 per month            ",75 m²
                        House Overschiese Dorpsstraat 126                            ,            3043 CV Rotterdam (Overschie)        ,"                €2,500 per month            ",140 m²
                        Apartment Portlandstraat                            ,            3082 XK Rotterdam (Oud Charlois)        ,"                €1,350 per month            ",59 m²
                        Apartment Koninginneweg 207 1                            ,            1075 CR Amsterdam (Willemspark)        ,"                €2,100 per month            ",80 m²
                        Apartment Muiderslotstraat                            ,            5037 HJ Tilburg (Kastelenbuurt Noord)        ,"                €1,249 per month            ",70 m²
                        House Leenderweg 272                            ,            5644 AD Eindhoven (Kerstroosplein)        ,"                €2,100 per month            ",139 m²
                        Apartment Cartier van Disselstraat                            ,            4835 KD Breda (Ginneken)        ,"                €1,195 per month            ",76 m²
                        Apartment Orveltestraat                            ,            2545 KH Den Haag (Morgenstond-West)        ,"                €1,250 per month            ",86 m²
                        Apartment Vlamenburg                            ,            2591 AP Den Haag (Burgen en Horsten)        ,"                €1,250 per month            ",76 m²
                        Apartment Van Hogendorpstraat 62 3                            ,            1051 BS Amsterdam (Staatsliedenbuurt)        ,"                €1,850 per month            ",51 m²
                        House Gein-Zuid 12                            ,            1391 GT Abcoude (Abcoude Buitengebied)        ,"                €3,000 per month            ",190 m²
                        House Schoolpad 4                            ,            1111 CS Diemen (Centrum West)        ,"                €2,250 per month            ",104 m²
                        Apartment Brugstraat                            ,            5211 VS Den Bosch (Het Zand)        ,                €690 per month            ,25 m²
                        Apartment Plaats 33 B                            ,            2513 AD Den Haag (Voorhout)        ,"                €1,695 per month            ",80 m²
                        Apartment Johannes Verhulststraat                            ,            1071 NG Amsterdam (Museumkwartier)        ,"                €2,000 per month            ",65 m²
                        House Boxtelseweg                            ,            5298 VB Liempde (Liempde)        ,"                €1,525 per month            ",115 m²
                        Apartment Houthof                            ,            6511 JT Nijmegen (Stadscentrum)        ,"                €1,750 per month            ",68 m²
                        House Dekemastate                            ,            1275 CM Huizen (Bijvanck Noord)        ,"                €1,200 per month            ",107 m²
                        Apartment Looiershof                            ,            3024 CZ Rotterdam (Delfshaven)        ,"                €1,700 per month            ",103 m²
                        Apartment Maerelaan 11 C                            ,            1961 KA Heemskerk (Centrum)        ,                €850 per month            ,77 m²
                        Apartment Hoogstraat                            ,            7512 GZ Enschede (Hogeland-Noord)        ,"                €1,595 per month            ",150 m²
                        Apartment De Kaai                            ,            9723 LD Groningen (Kop van Oost)        ,"                €1,080 per month            ",45 m²
                        Apartment Ternatestraat                            ,            7512 GL Enschede (Hogeland-Noord)        ,"                €1,550 per month            ",150 m²
                        Apartment Hogendijk                            ,            1506 AN Zaandam (Russische buurt)        ,"                €1,450 per month            ",77 m²
                        Apartment Toulonselaan 143                            ,            3311 LT Dordrecht (Park Merwestein en omgeving)        ,"                €1,400 per month            ",140 m²
                        Apartment Boschstraat                            ,            4811 GH Breda (Valkenberg)        ,"                €1,125 per month            ",60 m²
                        Apartment Herman Robbersstraat                            ,            3031 RK Rotterdam (Rubroek)        ,"                €1,600 per month            ",57 m²
                        Apartment Rozenburgstraat                            ,            2512 SW Den Haag (Schildersbuurt-West)        ,"                €1,095 per month            ",41 m²
                        Apartment Van Aerssenstraat                            ,            2582 JJ Den Haag (Statenkwartier)        ,"                €1,450 per month            ",81 m²
                        Apartment Scheldestraat 23                            ,            1972 TK IJmuiden (Kikvorsbuurt)        ,"                €1,450 per month            ",79 m²
                        Apartment Jufferstraat                            ,            3011 XM Rotterdam (Stadsdriehoek)        ,"                €1,995 per month            ",90 m²
                        Apartment Sigmaplantsoen 617                            ,            2321 KL Leiden (Cronestein)        ,"                €1,600 per month            ",72 m²
                        Room Wassenberghstraat                            ,            9718 LK Groningen (Schildersbuurt)        ,                €495 per month            ,16 m²
                        House Meerkensloop                            ,            5384 WP Heesch (Buitenpas - Noordrand)        ,"                €1,300 per month            ",120 m²
                        Apartment Gedempte Zalmhaven                            ,            3016 DT Rotterdam (Nieuwe Werk)        ,"                €2,995 per month            ",84 m²
                        House Arena                            ,            4873 DS Etten-Leur (Hoge Neerstraat)        ,"                €1,100 per month            ",70 m²
                        Apartment Brinkhorstweg                            ,            7311 GK Apeldoorn (Brinkhorst)        ,                €975 per month            ,51 m²
                        Apartment Hoyledestraat                            ,            3036 LS Rotterdam (Oude Noorden)        ,"                €1,350 per month            ",80 m²
                        Apartment Schoutenstraat                            ,            2596 SJ Den Haag (Waalsdorp)        ,"                €1,650 per month            ",113 m²
                        Apartment Loosduinsekade                            ,            2571 BW Den Haag (Transvaalkwartier-Noord)        ,                €995 per month            ,47 m²
                        Apartment 2e Van Blankenburgstraat                            ,            2517 HC Den Haag (Sweelinckplein en omgeving)        ,"                €1,475 per month            ",55 m²
                        Apartment Zuidplein                            ,            3083 CV Rotterdam (Zuidplein)        ,"                €2,950 per month            ",88 m²
                        Apartment Henri Hermanslaan 161                            ,            6162 GE Geleen (Geleen-Noord)        ,                €800 per month            ,78 m²
                        House 1e Jerichostraat 57 A                            ,            3061 GC Rotterdam (Kralingen West)        ,"                €2,500 per month            ",110 m²
                        House Kinderhuissingel 62                            ,            2013 AT Haarlem (Garenkokerskwartier)        ,"                €3,250 per month            ",170 m²
                        House Kortenhoefsedijk                            ,"            1241 LN Kortenhoef (Rade, Oranjebuurt, Munniksveen en omgeving)        ","                €2,400 per month            ",150 m²
                        Apartment Bella Vistastraat 170                            ,            1096 GM Amsterdam (Omval/Overamstel)        ,"                €3,000 per month            ",113 m²
                        Apartment Driehuizenpark                            ,            2163 KV Lisse (De Blinkerd)        ,"                €1,450 per month            ",87 m²
                        Apartment Pontsteiger                            ,            1014 ZP Amsterdam (Houthavens)        ,"                €6,500 per month            ",184 m²
                        Apartment Da Costakade                            ,            1053 WG Amsterdam (Da Costabuurt)        ,"                €2,500 per month            ",80 m²
                        Apartment Wijsmullerstraat 53 I*                            ,            1058 JH Amsterdam (Hoofddorppleinbuurt)        ,"                €3,500 per month            ",176 m²
                        Apartment Brusselsestraat 12 B02                            ,            6211 PE Maastricht (Statenkwartier)        ,                €800 per month            ,20 m²
                        Apartment Tinnegietersdreef 34 C                            ,            6216 RH Maastricht (Belfort)        ,"                €1,000 per month            ",86 m²
                        Apartment Keizersgracht 812 A                            ,            1017 ED Amsterdam (Grachtengordel-Zuid)        ,"                €2,450 per month            ",95 m²
                        Apartment Govert Flinckstraat 283 II+III                            ,            1073 CA Amsterdam (Oude Pijp)        ,"                €2,650 per month            ",103 m²
                        Apartment Graafschapstraat 20                            ,            1079 PE Amsterdam (Scheldebuurt)        ,"                €2,400 per month            ",95 m²
                        House Dirk Tersteeglaan 33                            ,            1411 ME Naarden (Componistenkwartier)        ,"                €3,850 per month            ",242 m²
                        Apartment Welle 44 N                            ,            7411 CC Deventer (Centrum)        ,                €627 per month            ,29 m²
                        Apartment Ceintuurbaan                            ,            1072 GD Amsterdam (Nieuwe Pijp)        ,"                €2,450 per month            ",80 m²
                        Apartment Johannes Gerobulusstraat                            ,            3553 KA Utrecht (Julianapark en omgeving)        ,"                €1,350 per month            ",40 m²
                        Room Dorpstraat                            ,            6227 BP Maastricht (Heer)        ,                €630 per month            ,17 m²
                        Apartment Akersteenweg                            ,            6226 HR Maastricht (Scharn)        ,"                €1,025 per month            ",90 m²
                        Studio Albert Cuypstraat                            ,            1073 BL Amsterdam (Oude Pijp)        ,"                €1,600 per month            ",38 m²
                        Apartment Scheepstimmermanslaan                            ,            3016 AD Rotterdam (Nieuwe Werk)        ,"                €1,395 per month            ",86 m²
                        House Graaf Van Lijndenlaan                            ,            7316 EH Apeldoorn (De Parken)        ,                €850 per month            ,60 m²
                        Apartment P. Hans Frankfurthersingel                            ,            1060 TP Amsterdam (Middelveldsche Akerpolder)        ,"                €1,650 per month            ",35 m²
                        Apartment Rijksweg Zuid                            ,            6131 AP Sittard (Ophoven)        ,                €975 per month            ,115 m²
                        Apartment Hoge Dries                            ,            7335 AT Apeldoorn (De Heeze)        ,                €825 per month            ,44 m²
                        Apartment Melissekade                            ,            3544 CZ Utrecht (Parkwijk-Zuid)        ,"                €2,600 per month            ",136 m²
                        Apartment Krommedijk 40 b                            ,            3312 CG Dordrecht (Transvaalstraat en omgeving)        ,                €850 per month            ,32 m²
                        Apartment Heresingel 34 a                            ,            9711 EV Groningen (Binnenstad-Zuid)        ,"                €1,650 per month            ",90 m²
                        Apartment Rooseveltlaan                            ,            4624 DK Bergen op Zoom (Gageldonk-West)        ,"                €1,385 per month            ",79 m²
                        Apartment Trompstraat                            ,            2518 BL Den Haag (Zeeheldenkwartier)        ,                €745 per month            ,30 m²
                        Apartment Stadhoudersring 142                            ,            2713 GG Zoetermeer (Driemanspolder)        ,"                €1,350 per month            ",105 m²
                        House Schoolpad 4                            ,            1111 CS Diemen (Centrum West)        ,"                €2,250 per month            ",104 m²
                        Apartment Keizersgracht                            ,            1016 EG Amsterdam (Grachtengordel-West)        ,"                €6,000 per month            ",270 m²
                        Apartment Kopenhagenstraat 19                            ,            3541 CE Utrecht (Leidsche Rijn-Centrum)        ,"                €1,700 per month            ",86 m²
                        Apartment Schalkwijkerstraat 5 J                            ,            2032 JA Haarlem (Oude Amsterdamsebuurt)        ,"                €2,000 per month            ",72 m²
                        Apartment Vlietzicht                            ,            2251 VX Voorschoten (Vlietwijk)        ,"                €1,495 per month            ",85 m²
                        Apartment Marnixlaan 240 C                            ,            3552 HK Utrecht (Geuzenwijk)        ,"                €1,495 per month            ",64 m²
                        House Sionsweg                            ,            6222 EJ Maastricht (Limmel)        ,"                €1,595 per month            ",176 m²
                        House Kievitsheuvel 13                            ,            1391 AP Abcoude (Abcoude-Zuidwest)        ,"                €2,100 per month            ",110 m²
                        Apartment Vollenhoveschans                            ,            1324 HT Almere (Stedenwijk)        ,"                €1,850 per month            ",79 m²
                        Apartment Puck van Heelstraat                            ,            3077 MG Rotterdam (Oud IJsselmonde)        ,"                €1,550 per month            ",83 m²
                        Room Rembrandtlaan                            ,            7545 ZL Enschede (Elferink-Heuwkamp)        ,                €430 per month            ,12 m²
                        Apartment Hoge Gouwe                            ,            2801 LC Gouda (Raam e.o.)        ,"                €1,395 per month            ",60 m²
                        House Prinsevinkenpark 1                            ,            2585 HJ Den Haag (Archipelbuurt)        ,"                €4,950 per month            ",269 m²
                        Apartment Langswater                            ,            1069 TS Amsterdam (De Punt)        ,"                €2,250 per month            ",70 m²
                        Apartment Adriaen van Ostadelaan                            ,            3583 AJ Utrecht (Schildersbuurt)        ,"                €1,550 per month            ",65 m²
                        Room Tempelplein                            ,            6131 JC Sittard (Sittard-Centrum)        ,                €310 per month            ,15 m²
                        Apartment Zuid Willemsvaart                            ,            5211 SE Den Bosch (Binnenstad-Oost)        ,"                €1,499 per month            ",100 m²
                        Room Willemskade                            ,            3016 DK Rotterdam (Nieuwe Werk)        ,                €422 per month            ,16 m²
                        House Cartesiusweg                            ,"            3534 BA Utrecht (Schepenbuurt, Cartesiusweg e.o.)        ","                €1,850 per month            ",100 m²
                        Apartment Prinsengracht                            ,            1016 HM Amsterdam (Grachtengordel-West)        ,"                €3,000 per month            ",100 m²
                        House Aldegondaplantsoen                            ,            6226 AG Maastricht (Wittevrouwenveld)        ,"                €1,995 per month            ",130 m²
                        Apartment Herengracht                            ,            2312 LA Leiden (Havenwijk-Zuid)        ,"                €1,075 per month            ",50 m²
                        Apartment Statenlaan 49 H                            ,            2582 GD Den Haag (Statenkwartier)        ,"                €1,895 per month            ",102 m²
                        Apartment Radesingel                            ,            9711 EK Groningen (Binnenstad-Zuid)        ,"                €1,395 per month            ",75 m²
                        Apartment W.A. Scholtenstraat                            ,            9711 XB Groningen (Binnenstad-Oost)        ,"                €1,218 per month            ",45 m²
                        Studio Wipstrikkerallee                            ,            8025 AH Zwolle (Wipstrik-Noord)        ,                €995 per month            ,40 m²
                        Apartment Molenstraat                            ,            5014 NG Tilburg (Besterd)        ,                €694 per month            ,45 m²
                        Apartment Reinoutdreef 133                            ,            3562 LK Utrecht (Zamenhofdreef en omgeving)        ,"                €1,325 per month            ",92 m²
                        House Lindenkruishof 3                            ,            6211 XD Maastricht (Statenkwartier)        ,"                €1,450 per month            ",134 m²
                        Room Herengracht                            ,            2312 LA Leiden (Havenwijk-Zuid)        ,                €375 per month            ,16 m²
                        Apartment Kruidenierweg                            ,            3401 GG IJsselstein (Achterveld-West)        ,                €550 per month            ,30 m²
                        Apartment Rodenrijsestraat                            ,            3037 NJ Rotterdam (Liskwartier)        ,"                €1,895 per month            ",140 m²
                        House Gein-Zuid 12                            ,            1391 GT Abcoude (Abcoude Buitengebied)        ,"                €3,000 per month            ",190 m²
                        Apartment Keizersgracht                            ,            1016 EG Amsterdam (Grachtengordel-West)        ,"                €6,000 per month            ",270 m²
                        Apartment Kleine der A 3                            ,            9711 HV Groningen (Binnenstad-Zuid)        ,"                €1,495 per month            ",146 m²
                        Apartment Plein 1940                            ,            4331 LG Middelburg (Markt)        ,"                €1,005 per month            ",57 m²
                        Apartment Nieuwe Osdorpergracht                            ,            1068 HV Amsterdam (Osdorp-Oost)        ,"                €1,750 per month            ",51 m²
                        House Freesiastraat 38                            ,            2906 CJ Capelle aan den IJssel (Bloemenbuurt-oost)        ,"                €1,145 per month            ",112 m²
                        House Zandkamp                            ,            3828 GP Hoogland (Bieshaar-Noord)        ,"                €1,895 per month            ",212 m²
